Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/13/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",281,171,462,253,177,362,393,218,708,297,184,479,259,164,411,229,144,365
12/14/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",279,168,465,283,180,446,417,220,789,288,179,466,251,162,389,206,135,316
12/15/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",223,136,365,235,107,516,244,144,413,245,158,381,211,132,338,207,131,328
12/16/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",234,137,398,300,152,591,255,159,407,227,125,409,258,158,421,198,120,327
12/17/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",242,143,410,240,175,329,290,166,507,245,130,459,225,143,355,193,120,308
12/18/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",253,156,412,252,168,376,312,176,554,263,164,422,234,154,357,209,125,349
12/19/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",253,151,425,227,149,344,313,177,553,270,172,424,239,147,388,194,101,371
12/20/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",232,145,371,237,168,336,288,173,478,231,148,361,215,138,337,204,119,349
12/21/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",280,156,502,239,161,354,433,244,765,306,170,550,247,143,424,192,118,312
12/22/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",206,135,315,199,126,312,210,148,298,227,148,348,203,135,304,191,122,302
12/23/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",201,129,313,194,116,322,214,138,331,214,138,333,189,130,275,195,121,316
12/24/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",221,134,366,193,124,300,273,171,436,230,149,355,208,115,376,192,122,300
12/25/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",227,148,347,258,182,366,206,131,326,208,136,316,248,158,388,224,150,332
